PCODE,SUBURB,WEEK,CASES,CUMU_CASES,IR_10000,CumuIR_10000,ppltn_2022
HS00044,Kuwadzana 5,18,0,0,0,0,15700
HS00046,Kuwadzana 2,18,0,0,0,0,5416
HS00047,Kuwadzana 3,18,0,0,0,0,10324
HS00050,Crowborough North,18,0,0,0,0,12808
HS00051,Crowborough North Ext.,18,0,0,0,0,9896
HS00055,Southerton Residential,18,0,0,0,0,10552
HS00056,Warren Park D,18,0,0,0,0,15156
HS00061,Ushewokunze,18,0,0,0,0,105708
HS00064,Lochinvar,18,1,1,0.988142292,0.988142292,10120
HS00065,Mufakose,18,0,0,0,0,38528
HS00093,Borrowdale,18,1,1,0.609458801,0.609458801,16408
HS00103,Braeside,18,0,0,0,0,10692
HS00104,Caledonia,18,0,0,0,0,146192
HS00107,Chisipite,18,0,0,0,0,9640
HS00114,Dzivaresekwa 4,18,0,0,0,0,2840
HS00118,Dzivaresekwa Ext,18,1,1,0.282709488,0.282709488,35372
HS00119,Eastlea,18,0,0,0,0,10932
HS00123,Glen Lorne,18,0,0,0,0,19684
HS00124,Glenwood,18,0,0,0,0,4336
HS00137,Hatcliffe Consortium,18,0,0,0,0,29108
HS00138,Hatcliffe 1,18,0,0,0,0,9636
HS00140,Hatfield,18,0,0,0,0,38996
HS00144,Hopely,18,0,0,0,0,79780
HS00156,Monavale,18,0,0,0,0,4848
HS00157,New Mabvuku,18,0,0,0,0,26852
HS00159,Mabvuku (Undeveloped),18,0,0,0,0,40
HS00170,Mbare Ardbennie,18,0,0,0,0,7964
HS00172,Mount Pleasant,18,1,1,0.200304463,0.200304463,49924
HS00181,Mukuvisi Woodlands,18,0,0,0,0,4128
HS00182,New Settlement,18,0,0,0,0,23316
HS00188,Sunningdale,18,0,0,0,0,12200
HS00193,Tynwald,18,0,0,0,0,20212
HS00201,Waterfalls Retreat,18,0,0,0,0,62224
HS00203,Waterfalls Mainway Meadows,18,0,0,0,0,45236
HS00205,Westgate,18,0,0,0,0,9672
HS00206,Westlea,18,0,0,0,0,16660
HS00207,Southlea Park,18,1,1,0.11188686,0.11188686,89376
HS00211,Southlands,18,0,0,0,0,29732
HS00215,Mbare Magaba,18,0,0,0,0,6080
HS00216,Mbare Shawasha,18,0,0,0,0,736
HS00219,Mbare Annex,18,0,0,0,0,1316
HS00221,Mbare Matapi,18,0,0,0,0,632
HS00225,Mbare National,18,0,0,0,0,30112
HS00228,Mbare Matererini,18,0,0,0,0,260
HS00238,Epworth Zinyengere Extension,18,0,0,0,0,18520
HS00239,Epworth Glenwood,18,0,0,0,0,12700
HS00248,Manyame Park,18,0,0,0,0,40648
HS00251,Zengeza 4,18,0,0,0,0,35500
HS00299,Zengeza 3 and 5,18,0,0,0,0,36388
HS00310,Ruwa,18,0,0,0,0,164284
HS00001,Budiriro 5B Ext,19,0,0,0,0,42696
HS00002,Budiriro 1,19,7,18,2.893997023,7.441706631,24188
HS00003,Budiriro 3,19,4,5,4.472271914,5.590339893,8944
HS00004,Budiriro 2,19,0,0,0,0,12504
HS00005,Budiriro 4,19,0,0,0,0,9472
HS00006,Budiriro 5A,19,1,1,0.627982919,0.627982919,15924
HS00007,Budiriro 5B,19,1,2,0.502209723,1.004419446,19912
HS00009,Glen Norah A,19,0,0,0,0,31720
HS00011,Glen Norah C,19,2,2,3.067484663,3.067484663,6520
HS00013,Glen Norah B,19,0,0,0,0,12260
HS00014,Glenview 1,19,1,2,0.452406804,0.904813608,22104
HS00015,Glenview 8,19,3,3,1.701837985,1.701837985,17628
HS00017,Glenview 7,19,1,1,0.319081047,0.319081047,31340
HS00018,Glenview 2,19,0,0,0,0,5104
HS00019,Glenview 3,19,31,40,16.18629908,20.8855472,19152
HS00020,Glenview 4,19,1,1,2.23015165,2.23015165,4484
HS00021,Old Highfield,19,0,0,0,0,13928
HS00022,Western Triangle,19,0,0,0,0,5632
HS00024,Highfield Engineering,19,0,0,0,0,4380
HS00025,Highfield Lusaka,19,0,0,0,0,4396
HS00026,Highfield Paradise,19,0,0,0,0,3228
HS00027,Highfield Egypt,19,0,0,0,0,5144
HS00029,Highfield New Canaan,19,0,0,0,0,8980
HS00034,Rugare,19,0,0,0,0,7376
HS00042,Kuwadzana - Ext. (phase 4),19,0,0,0,0,25140
HS00043,Kuwadzana 7,19,0,0,0,0,5712
HS00044,Kuwadzana 5,19,0,0,0,0,15700
HS00046,Kuwadzana 2,19,0,0,0,0,5416
HS00047,Kuwadzana 3,19,0,0,0,0,10324
HS00050,Crowborough North,19,0,0,0,0,12808
HS00051,Crowborough North Ext.,19,0,0,0,0,9896
HS00055,Southerton Residential,19,0,0,0,0,10552
HS00056,Warren Park D,19,1,1,0.659804698,0.659804698,15156
HS00061,Ushewokunze,19,0,0,0,0,105708
HS00064,Lochinvar,19,0,1,0,0.988142292,10120
HS00065,Mufakose,19,0,0,0,0,38528
HS00093,Borrowdale,19,1,2,0.609458801,1.218917601,16408
HS00103,Braeside,19,0,0,0,0,10692
HS00104,Caledonia,19,0,0,0,0,146192
HS00107,Chisipite,19,0,0,0,0,9640
HS00114,Dzivaresekwa 4,19,0,0,0,0,2840
HS00118,Dzivaresekwa Ext,19,0,1,0,0.282709488,35372
HS00119,Eastlea,19,0,0,0,0,10932
HS00123,Glen Lorne,19,0,0,0,0,19684
HS00124,Glenwood,19,1,1,2.306273063,2.306273063,4336
HS00137,Hatcliffe Consortium,19,0,0,0,0,29108
HS00138,Hatcliffe 1,19,1,1,1.03777501,1.03777501,9636
HS00140,Hatfield,19,0,0,0,0,38996
HS00144,Hopely,19,0,0,0,0,79780
HS00156,Monavale,19,0,0,0,0,4848
HS00157,New Mabvuku,19,0,0,0,0,26852
HS00159,Mabvuku (Undeveloped),19,0,0,0,0,40
HS00170,Mbare Ardbennie,19,0,0,0,0,7964
HS00172,Mount Pleasant,19,1,2,0.200304463,0.400608926,49924
HS00181,Mukuvisi Woodlands,19,0,0,0,0,4128
HS00182,New Settlement,19,0,0,0,0,23316
HS00188,Sunningdale,19,0,0,0,0,12200
HS00193,Tynwald,19,0,0,0,0,20212
HS00201,Waterfalls Retreat,19,1,1,0.160709694,0.160709694,62224
HS00203,Waterfalls Mainway Meadows,19,0,0,0,0,45236
HS00205,Westgate,19,0,0,0,0,9672
HS00206,Westlea,19,0,0,0,0,16660
HS00207,Southlea Park,19,2,3,0.22377372,0.33566058,89376
HS00211,Southlands,19,0,0,0,0,29732
HS00215,Mbare Magaba,19,0,0,0,0,6080
HS00216,Mbare Shawasha,19,0,0,0,0,736
HS00219,Mbare Annex,19,0,0,0,0,1316
HS00221,Mbare Matapi,19,5,5,79.11392405,79.11392405,632
HS00225,Mbare National,19,0,0,0,0,30112
HS00228,Mbare Matererini,19,0,0,0,0,260
HS00238,Epworth Zinyengere Extension,19,0,0,0,0,18520
HS00239,Epworth Glenwood,19,0,0,0,0,12700
HS00248,Manyame Park,19,0,0,0,0,40648
HS00251,Zengeza 4,19,0,0,0,0,35500
HS00299,Zengeza 3 and 5,19,0,0,0,0,36388
HS00310,Ruwa,19,0,0,0,0,164284
HS00001,Budiriro 5B Ext,20,0,0,0,0,42696
HS00002,Budiriro 1,20,13,31,5.3745659,12.81627253,24188
HS00003,Budiriro 3,20,3,8,3.354203936,8.944543828,8944
HS00004,Budiriro 2,20,3,3,2.399232246,2.399232246,12504
HS00005,Budiriro 4,20,2,2,2.111486486,2.111486486,9472
HS00006,Budiriro 5A,20,2,3,1.255965838,1.883948757,15924
HS00007,Budiriro 5B,20,2,4,1.004419446,2.008838891,19912
HS00009,Glen Norah A,20,2,2,0.630517024,0.630517024,31720
HS00011,Glen Norah C,20,2,4,3.067484663,6.134969325,6520
HS00013,Glen Norah B,20,1,1,0.815660685,0.815660685,12260
HS00014,Glenview 1,20,24,26,10.8577633,11.76257691,22104
HS00015,Glenview 8,20,11,14,6.240072612,7.941910597,17628
HS00017,Glenview 7,20,2,3,0.638162093,0.95724314,31340
HS00018,Glenview 2,20,4,4,7.836990596,7.836990596,5104
HS00019,Glenview 3,20,25,65,13.053467,33.9390142,19152
